u,S(u),delta,T(u),delta
5000,-3470.0,45.5,-0.818,0.009
4980,-3424.5,45.6,-0.809,0.009
4960,-3378.9,45.7,-0.800,0.009
4940,-3333.2,45.8,-0.791,0.010
4920,-3287.4,46.0,-0.781,0.009
4900,-3241.4,46.0,-0.772,0.010
4880,-3195.4,46.1,-0.762,0.009
4860,-3149.3,46.2,-0.753,0.010
4840,-3103.1,46.3,-0.743,0.009
4820,-3056.8,46.5,-0.734,0.010
4800,-3010.3,46.5,-0.724,0.010
4780,-2963.8,46.6,-0.714,0.009
4760,-2917.2,46.8,-0.705,0.010
4740,-2870.4,46.8,-0.695,0.010
4720,-2823.6,47.0,-0.685,0.010
4700,-2776.6,47.1,-0.675,0.010
4680,-2729.5,47.2,-0.665,0.010
4660,-2682.3,47.3,-0.655,0.010
4640,-2635.0,47.4,-0.645,0.011
4620,-2587.6,47.5,-0.634,0.010
4600,-2540.1,47.7,-0.624,0.010
4580,-2492.4,47.7,-0.614,0.010
4560,-2444.7,47.9,-0.604,0.011
4540,-2396.8,47.9,-0.593,0.010
4520,-2348.9,48.2,-0.583,0.011
4500,-2300.7,48.2,-0.572,0.011
4480,-2252.5,48.4,-0.561,0.011
4460,-2204.1,48.4,-0.550,0.011
4440,-2155.7,48.6,-0.539,0.011
4420,-2107.1,48.7,-0.528,0.011
4400,-2058.4,48.8,-0.517,0.011
4380,-2009.6,49.0,-0.506,0.011
4360,-1960.6,49.1,-0.495,0.011
4340,-1911.5,49.2,-0.484,0.012
4320,-1862.3,49.3,-0.472,0.011
4300,-1813.0,49.4,-0.461,0.012
4280,-1763.6,49.6,-0.449,0.011
4260,-1714.0,49.7,-0.438,0.012
4240,-1664.3,49.8,-0.426,0.012
4220,-1614.5,50.0,-0.414,0.012
4200,-1564.5,50.2,-0.402,0.012
4180,-1514.3,50.2,-0.390,0.012
4160,-1464.1,50.4,-0.378,0.012
4140,-1413.7,50.5,-0.366,0.012
4120,-1363.2,50.5,-0.354,0.012
4100,-1312.7,50.8,-0.342,0.012
4080,-1261.9,50.9,-0.330,0.013
4060,-1211.0,51.0,-0.317,0.012
4040,-1160.0,51.2,-0.305,0.013
4020,-1108.8,51.3,-0.292,0.013
4000,-1057.5,51.4,-0.279,0.013
3980,-1006.1,51.6,-0.266,0.013
3960,-954.5,51.7,-0.253,0.013
3940,-902.8,51.9,-0.240,0.014
3920,-850.9,52.1,-0.226,0.013
3900,-798.8,52.2,-0.213,0.013
3880,-746.6,52.3,-0.200,0.014
3860,-694.3,52.5,-0.186,0.013
3840,-641.8,52.6,-0.173,0.014
3820,-589.2,52.8,-0.159,0.014
3800,-536.4,52.9,-0.145,0.014
3780,-483.5,53.1,-0.131,0.014
3760,-430.4,53.2,-0.117,0.014
3740,-377.2,53.4,-0.103,0.015
3720,-323.8,53.6,-0.088,0.014
3700,-270.2,53.7,-0.074,0.015
3680,-216.5,53.9,-0.059,0.014
3660,-162.6,54.0,-0.045,0.015
3640,-108.6,54.2,-0.030,0.015
3620,-54.4,54.4,-0.015,0.015
3600,0.0,54.5,0.000,0.015
3580,54.5,54.7,0.015,0.015
3560,109.2,54.9,0.030,0.016
3540,164.1,55.1,0.046,0.016
3520,219.2,55.2,0.062,0.015
3500,274.4,55.4,0.077,0.016
3480,329.8,55.5,0.093,0.016
3460,385.3,55.8,0.109,0.016
3440,441.1,55.9,0.125,0.017
3420,497.0,56.1,0.142,0.016
3400,553.1,28.2,0.158,0.008
3390,581.3,28.1,0.166,0.009
3380,609.4,28.2,0.175,0.008
3370,637.6,28.2,0.183,0.009
3360,665.8,28.3,0.192,0.008
3350,694.1,28.4,0.200,0.008
3340,722.5,28.4,0.208,0.009
3330,750.9,28.4,0.217,0.008
3320,779.3,28.5,0.225,0.009
3310,807.8,28.6,0.234,0.009
3300,836.4,28.6,0.243,0.008
3290,865.0,28.6,0.251,0.009
3280,893.6,28.7,0.260,0.009
3270,922.3,28.7,0.269,0.009
3260,951.0,28.8,0.278,0.008
3250,979.8,28.8,0.286,0.009
3240,1008.6,28.9,0.295,0.009
3230,1037.5,28.9,0.304,0.009
3220,1066.4,29.0,0.313,0.009
3210,1095.4,29.0,0.322,0.009
3200,1124.4,29.1,0.331,0.009
3190,1153.5,29.1,0.340,0.009
3180,1182.6,29.2,0.349,0.010
3170,1211.8,29.2,0.359,0.009
3160,1241.0,29.3,0.368,0.009
3150,1270.3,29.3,0.377,0.009
3140,1299.6,29.4,0.386,0.010
3130,1329.0,29.4,0.396,0.009
3120,1358.4,29.5,0.405,0.010
3110,1387.9,29.5,0.415,0.009
3100,1417.4,29.6,0.424,0.010
3090,1447.0,29.6,0.434,0.009
3080,1476.6,29.7,0.443,0.010
3070,1506.3,29.8,0.453,0.010
3060,1536.1,29.8,0.463,0.009
3050,1565.9,29.8,0.472,0.010
3040,1595.7,29.9,0.482,0.010
3030,1625.6,30.0,0.492,0.010
3020,1655.6,30.0,0.502,0.010
3010,1685.6,30.1,0.512,0.010
3000,1715.7,30.1,0.522,0.010
2990,1745.8,30.2,0.532,0.010
2980,1776.0,30.2,0.542,0.010
2970,1806.2,30.3,0.552,0.011
2960,1836.5,30.3,0.563,0.010
2950,1866.8,30.4,0.573,0.010
2940,1897.2,30.5,0.583,0.010
2930,1927.7,30.5,0.593,0.011
2920,1958.2,30.6,0.604,0.010
2910,1988.8,30.6,0.614,0.011
2900,2019.4,30.7,0.625,0.010
2890,2050.1,30.8,0.635,0.011
2880,2080.9,30.8,0.646,0.011
2870,2111.7,30.9,0.657,0.011
2860,2142.6,30.9,0.668,0.011
2850,2173.5,31.0,0.679,0.011
2840,2204.5,31.1,0.690,0.011
2830,2235.6,31.1,0.701,0.011
2820,2266.7,31.2,0.712,0.011
2810,2297.9,31.2,0.723,0.011
2800,2329.1,31.3,0.734,0.011
2790,2360.4,31.3,0.745,0.011
2780,2391.7,31.4,0.756,0.011
2770,2423.1,31.5,0.767,0.012
2760,2454.6,31.5,0.779,0.011
2750,2486.1,31.6,0.790,0.012
